40,bfs,1,62.159
41,bfs,1,322.878
42,bfs,1,133.774
43,bfs,1,401.232
44,bfs,1,764.136
45,bfs,1,916.493
46,bfs,1,975.614
47,bfs,1,683.378
48,bfs,1,967.918
49,bfs,1,1398.524
50,bfs,1,1482.574
40,bfs,2,11.341
41,bfs,2,280.208
42,bfs,2,78.676
43,bfs,2,361.415
44,bfs,2,725.163
45,bfs,2,151.397
46,bfs,2,222.422
47,bfs,2,642.045
48,bfs,2,210.871
49,bfs,2,662.903
50,bfs,2,744.295
40,bfs,3,36.569
41,bfs,3,276.514
42,bfs,3,67.772
43,bfs,3,360.542
44,bfs,3,244.433
45,bfs,3,393.966
46,bfs,3,481.653
47,bfs,3,157.254
48,bfs,3,460.442
49,bfs,3,428.704
50,bfs,3,508.311
40,bfs,4,13.717
41,bfs,4,272.866
42,bfs,4,58.402
43,bfs,4,357.292
44,bfs,4,428.619
45,bfs,4,150.47
46,bfs,4,237.089
47,bfs,4,350.953
48,bfs,4,224.82
49,bfs,4,371.235
50,bfs,4,456.262
40,bfs,5,3.801
41,bfs,5,268.406
42,bfs,5,57.959
43,bfs,5,144.553
44,bfs,5,186.529
45,bfs,5,65.376
46,bfs,5,164.07
47,bfs,5,87.286
48,bfs,5,154.053
49,bfs,5,375.156
50,bfs,5,429.903
40,bfs,6,14.866
41,bfs,6,333.076
42,bfs,6,61.646
43,bfs,6,150.827
44,bfs,6,382.339
45,bfs,6,208.792
46,bfs,6,344.487
47,bfs,6,233.588
48,bfs,6,324.85
49,bfs,6,189.571
50,bfs,6,258.882
40,bfs,7,3.114
41,bfs,7,153.98
42,bfs,7,70.18
43,bfs,7,302.185
44,bfs,7,235.679
45,bfs,7,50.016
46,bfs,7,188.576
47,bfs,7,86.985
48,bfs,7,168.601
49,bfs,7,263.472
50,bfs,7,416.122
40,bfs,8,15.843
41,bfs,8,141.13
42,bfs,8,71.833
43,bfs,8,293.747
44,bfs,8,387.665
45,bfs,8,203.322
46,bfs,8,47.332
47,bfs,8,240.178
48,bfs,8,321.57
49,bfs,8,265.753
50,bfs,8,419.299
40,astar,1,38.209
41,astar,1,404.521
42,astar,1,408.931
43,astar,1,977.252
44,astar,1,501.378
45,astar,1,439.05
46,astar,1,773.3
47,astar,1,384.459
48,astar,1,603.791
49,astar,1,475.038
50,astar,1,601.466
40,astar,2,23.686
41,astar,2,204.187
42,astar,2,205.913
43,astar,2,530.538
44,astar,2,265.721
45,astar,2,224.73
46,astar,2,362.22
47,astar,2,203.895
48,astar,2,315.049
49,astar,2,254.874
50,astar,2,310.298
40,astar,3,19.425
41,astar,3,156.467
42,astar,3,159.214
43,astar,3,429.933
44,astar,3,187.557
45,astar,3,181.894
46,astar,3,275.929
47,astar,3,156.563
48,astar,3,263.542
49,astar,3,185.359
50,astar,3,248.067
40,astar,4,16.592
41,astar,4,116.055
42,astar,4,113.86
43,astar,4,332.135
44,astar,4,175.054
45,astar,4,126.969
46,astar,4,160.191
47,astar,4,129.062
48,astar,4,170.11
49,astar,4,168.268
50,astar,4,187.982
40,astar,5,13.33
41,astar,5,99.78
42,astar,5,84.927
43,astar,5,395.488
44,astar,5,143.345
45,astar,5,125.214
46,astar,5,211.754
47,astar,5,119.907
48,astar,5,225.888
49,astar,5,141.233
50,astar,5,197.143
40,astar,6,15.563
41,astar,6,97.494
42,astar,6,96.006
43,astar,6,323.056
44,astar,6,180.234
45,astar,6,113.031
46,astar,6,148.301
47,astar,6,129.565
48,astar,6,210.308
49,astar,6,112.044
50,astar,6,136.043
40,astar,7,9.584
41,astar,7,121.582
42,astar,7,79.29
43,astar,7,384.535
44,astar,7,153.721
45,astar,7,79.848
46,astar,7,116.096
47,astar,7,123.786
48,astar,7,158.184
49,astar,7,149.528
50,astar,7,222.65
40,astar,8,12.125
41,astar,8,81.0
42,astar,8,81.428
43,astar,8,282.12
44,astar,8,172.86
45,astar,8,83.984
46,astar,8,128.76
47,astar,8,121.862
48,astar,8,142.745
49,astar,8,159.224
50,astar,8,242.145
